Brand_Model,Engine_Type,Condition,Region,Year,Mileage,Price
Kia K5,Hybrid,Used,St. Petersburg,2018,169892,573996
BMW 5-Series,Diesel,Excellent,Samara,2015,97434,1105608
Renault Duster,Hybrid,Used,St. Petersburg,2017,218865,443822
Volkswagen Polo,Hybrid,Good,Moscow,2014,172602,236100
Volkswagen Tiguan,Petrol,Good,Krasnodar,2019,44725,759278
BMW X5,Diesel,Fair,Rostov,2022,268759,2246789
Kia K5,Hybrid,Used,Kazan,2012,217214,244228
BMW 5-Series,Petrol,Excellent,Ekaterinburg,2013,221353,886673
Mercedes-Benz C-Class,Electric,Excellent,Kazan,2020,42884,2287619
Mercedes-Benz C-Class,Hybrid,Used,Krasnodar,2023,103816,2989802
BMW 3-Series,Diesel,Excellent,Krasnodar,2012,257355,603668
Hyundai Solaris,Electric,Fair,Rostov,2013,100395,437421
Kia Sportage,Hybrid,Excellent,St. Petersburg,2011,209868,214017
Volkswagen Tiguan,Diesel,Excellent,Kazan,2019,14366,795017
Toyota Camry,Electric,Used,Moscow,2021,219683,857643
Nissan X-Trail,Diesel,Fair,Kazan,2015,133103,471825
Nissan X-Trail,Hybrid,Excellent,Moscow,2015,38607,329222
Renault Logan,Petrol,Fair,Rostov,2013,142822,473586
Kia Sportage,Electric,Fair,St. Petersburg,2012,270787,348405
BMW 5-Series,Hybrid,Fair,Krasnodar,2022,19739,3006014
Lada Granta,Petrol,Used,Rostov,2013,31820,150000
Renault Sandero,Electric,Good,Rostov,2012,123246,399813
Nissan X-Trail,Hybrid,Excellent,Novosibirsk,2014,267549,297929
Kia K5,Hybrid,Used,Samara,2022,162865,1065454
Nissan X-Trail,Electric,Excellent,Ekaterinburg,2017,137806,534712
Mercedes-Benz GLE,Diesel,Excellent,Moscow,2019,56954,1736590
Renault Logan,Electric,Used,Krasnodar,2016,21899,554829
Kia Rio,Petrol,Good,Ekaterinburg,2024,281657,1219957
Volkswagen Passat,Hybrid,Used,St. Petersburg,2021,88852,854991
Toyota Corolla,Hybrid,Fair,St. Petersburg,2013,81478,449477
BMW X5,Petrol,Excellent,Novosibirsk,2016,284715,1003678
Renault Sandero,Hybrid,Excellent,Novosibirsk,2024,244560,1244923
Renault Duster,Diesel,Fair,Krasnodar,2018,279727,645603
Volkswagen Tiguan,Hybrid,Good,Moscow,2016,65337,544757
Hyundai Tucson,Petrol,Good,St. Petersburg,2014,246203,349253
Toyota RAV4,Diesel,Excellent,Kazan,2020,175234,686654
Hyundai Solaris,Petrol,Fair,Krasnodar,2017,134559,585180
BMW 3-Series,Electric,Fair,Rostov,2015,96684,1007291
Renault Logan,Petrol,Fair,St. Petersburg,2016,264674,400310
Toyota Camry,Petrol,Fair,Novosibirsk,2021,236325,886169
BMW X5,Diesel,Used,Moscow,2016,137520,1324761
Toyota Camry,Diesel,Fair,Krasnodar,2018,126519,646720
Kia Sportage,Hybrid,Good,Krasnodar,2016,232896,472276
BMW X5,Diesel,Excellent,St. Petersburg,2014,135597,778310
Hyundai Solaris,Electric,Fair,Moscow,2011,152528,223997
BMW X5,Electric,Fair,St. Petersburg,2010,14322,689909
Lada Vesta,Diesel,Used,Moscow,2020,22345,433987
Skoda Octavia,Diesel,Used,Moscow,2018,214769,644497
Hyundai Creta,Diesel,Good,Samara,2024,233464,1163618
Nissan X-Trail,Hybrid,Fair,Novosibirsk,2019,150397,640953
Volkswagen Tiguan,Petrol,Fair,Samara,2019,9055,884382
Lada Niva,Diesel,Used,Kazan,2013,191744,268442
Kia Sportage,Hybrid,Fair,Ekaterinburg,2020,63950,958202
Nissan X-Trail,Diesel,Excellent,Moscow,2021,174487,730694
Nissan X-Trail,Electric,Fair,St. Petersburg,2020,36021,834014
BMW 5-Series,Electric,Fair,Samara,2022,163610,2534582
Skoda Octavia,Diesel,Used,St. Petersburg,2016,127485,595659
Mercedes-Benz E-Class,Petrol,Fair,Kazan,2013,277700,570809
Nissan Qashqai,Electric,Excellent,Rostov,2013,87993,462951
Kia Sportage,Petrol,Good,Moscow,2012,143917,407139
Lada Niva,Hybrid,Used,Kazan,2014,227301,150000
Mercedes-Benz GLE,Diesel,Fair,Kazan,2020,221808,1927455
Nissan Juke,Electric,Fair,Rostov,2022,85070,942867
Nissan Qashqai,Hybrid,Excellent,Rostov,2012,198570,258279
Volkswagen Tiguan,Hybrid,Used,St. Petersburg,2017,229325,432759
Toyota RAV4,Electric,Fair,Krasnodar,2021,45242,1106948
Renault Logan,Diesel,Used,Novosibirsk,2012,120797,196100
Renault Logan,Hybrid,Excellent,Krasnodar,2015,103934,550450
Mercedes-Benz E-Class,Petrol,Good,Novosibirsk,2016,147960,1215024
Lada Granta,Diesel,Excellent,Moscow,2014,107750,279774
Mercedes-Benz C-Class,Petrol,Good,Kazan,2012,88701,652023
Volkswagen Passat,Electric,Used,Novosibirsk,2021,264650,793269
Skoda Kodiaq,Electric,Fair,Novosibirsk,2024,245822,1044449
Hyundai Creta,Diesel,Used,Samara,2022,40857,987127
Lada Granta,Petrol,Fair,Rostov,2014,11442,150000
Toyota Camry,Diesel,Excellent,Rostov,2017,278158,364963
Kia K5,Diesel,Excellent,Ekaterinburg,2013,64644,390103
Toyota Corolla,Petrol,Excellent,Samara,2010,169609,301821
Renault Sandero,Petrol,Good,St. Petersburg,2015,57920,359359
Toyota RAV4,Hybrid,Used,Krasnodar,2012,298305,150000
Toyota Camry,Diesel,Excellent,Moscow,2015,92700,316394
Lada Niva,Hybrid,Used,St. Petersburg,2018,203632,341694
Mercedes-Benz GLE,Diesel,Fair,St. Petersburg,2011,165787,655232
Kia Sportage,Electric,Excellent,Novosibirsk,2018,276643,580608
Lada Niva,Electric,Fair,Novosibirsk,2016,253217,150000
Renault Duster,Hybrid,Good,Rostov,2011,58269,333911
Toyota RAV4,Petrol,Fair,St. Petersburg,2024,216545,1175287
Kia Rio,Electric,Used,Samara,2024,11482,1502748
Kia Rio,Electric,Excellent,Novosibirsk,2011,62790,182064
Hyundai Solaris,Petrol,Fair,Kazan,2010,248264,296555
Mercedes-Benz C-Class,Electric,Used,Krasnodar,2010,288582,567070
Volkswagen Passat,Electric,Fair,Samara,2019,133027,626941
Lada Granta,Diesel,Used,Samara,2015,139075,150000
Volkswagen Passat,Electric,Good,Novosibirsk,2020,84087,793630
Nissan X-Trail,Diesel,Good,Novosibirsk,2016,62424,656796
Lada Granta,Hybrid,Used,Krasnodar,2018,253227,298873
Lada Vesta,Hybrid,Used,Krasnodar,2014,7117,296719
Volkswagen Polo,Petrol,Excellent,St. Petersburg,2010,75444,289466
Lada Granta,Electric,Fair,Novosibirsk,2024,40068,589609
Mercedes-Benz GLE,Hybrid,Fair,Samara,2020,60881,2157501
Hyundai Creta,Petrol,Fair,Rostov,2011,295415,341390
Hyundai Creta,Petrol,Fair,Krasnodar,2017,151117,533177
Hyundai Solaris,Petrol,Used,Novosibirsk,2010,223460,351861
Renault Duster,Electric,Fair,Samara,2010,277523,150000
Lada Granta,Petrol,Fair,Ekaterinburg,2016,102543,235158
Kia K5,Petrol,Used,St. Petersburg,2015,25841,327721
Volkswagen Tiguan,Diesel,Fair,Samara,2024,12537,1488330
Hyundai Tucson,Hybrid,Good,Samara,2022,33500,1022121
Hyundai Solaris,Electric,Good,Kazan,2013,195934,169458
Renault Logan,Hybrid,Excellent,Kazan,2018,142737,754925
Hyundai Solaris,Hybrid,Good,Moscow,2022,92617,948973
Lada Vesta,Electric,Good,St. Petersburg,2011,207482,150000
Kia Sportage,Petrol,Excellent,Rostov,2024,45674,1317489
Renault Sandero,Electric,Used,Rostov,2012,189987,228812
Lada Niva,Electric,Fair,Samara,2022,104294,374959
BMW 5-Series,Diesel,Fair,Ekaterinburg,2015,210879,1007222
Toyota Camry,Electric,Used,Samara,2010,130273,187926
Lada Niva,Electric,Excellent,Ekaterinburg,2017,65874,360370
Hyundai Solaris,Diesel,Fair,Ekaterinburg,2021,75914,1000829
Kia Rio,Hybrid,Used,Ekaterinburg,2016,129358,360634
Renault Logan,Diesel,Excellent,Krasnodar,2018,68162,767784
Volkswagen Tiguan,Petrol,Fair,Ekaterinburg,2021,96055,1024333
Skoda Rapid,Petrol,Fair,Ekaterinburg,2017,43774,532896
Volkswagen Polo,Hybrid,Fair,Kazan,2024,255961,1217174
Nissan X-Trail,Diesel,Used,Samara,2015,32073,447395
Kia Sportage,Electric,Fair,Novosibirsk,2011,157316,338036
Toyota Corolla,Electric,Fair,Ekaterinburg,2018,168419,459529
Kia K5,Petrol,Fair,St. Petersburg,2016,217321,457734
Toyota Corolla,Electric,Fair,Moscow,2012,139858,319488
Nissan Qashqai,Petrol,Good,Kazan,2015,162276,500627
Lada Niva,Diesel,Used,Kazan,2021,127991,405499
Hyundai Creta,Electric,Excellent,Ekaterinburg,2023,209324,973258
BMW X5,Hybrid,Good,Krasnodar,2013,88775,958475
Kia K5,Electric,Good,Novosibirsk,2014,207937,462879
Nissan Qashqai,Petrol,Good,Moscow,2010,95794,178832
Volkswagen Polo,Petrol,Fair,Novosibirsk,2019,182538,783517
Kia K5,Petrol,Used,Krasnodar,2010,32860,254125
Nissan Qashqai,Diesel,Fair,Samara,2024,151048,1268132
Kia Sportage,Petrol,Fair,Krasnodar,2019,206925,693621
Toyota Corolla,Electric,Excellent,St. Petersburg,2016,225351,401452
BMW X5,Hybrid,Excellent,Rostov,2022,160178,2507209
Volkswagen Passat,Diesel,Excellent,Krasnodar,2016,202361,535232
Volkswagen Passat,Diesel,Used,Moscow,2014,121643,435192
Volkswagen Tiguan,Diesel,Fair,Kazan,2017,36109,703516
Renault Logan,Hybrid,Excellent,Ekaterinburg,2013,6780,497481
Kia Sportage,Electric,Fair,Rostov,2020,47190,799244
Kia Rio,Hybrid,Fair,Novosibirsk,2012,28160,378162
Lada Niva,Hybrid,Good,Moscow,2021,92583,388665
Volkswagen Passat,Diesel,Good,Novosibirsk,2012,174793,267944
Nissan Juke,Petrol,Fair,Moscow,2015,117402,557171
BMW 3-Series,Petrol,Used,Ekaterinburg,2021,66279,2394263
Hyundai Solaris,Hybrid,Excellent,Krasnodar,2018,109926,744556
Renault Sandero,Electric,Used,Krasnodar,2023,42233,1251554
Toyota Corolla,Hybrid,Fair,Kazan,2011,220950,260859
Mercedes-Benz E-Class,Petrol,Fair,Rostov,2018,259045,1323683
BMW 5-Series,Petrol,Excellent,St. Petersburg,2012,60997,641691
Volkswagen Passat,Electric,Fair,Samara,2022,27544,1186073
Nissan Qashqai,Petrol,Fair,Ekaterinburg,2021,48537,1030902
Renault Logan,Hybrid,Used,Samara,2022,136148,1127595
Lada Niva,Hybrid,Fair,St. Petersburg,2022,71887,362168
BMW 5-Series,Petrol,Good,Samara,2010,264434,586066
Mercedes-Benz E-Class,Diesel,Good,Ekaterinburg,2020,280855,1742797
Toyota RAV4,Hybrid,Good,Rostov,2020,267613,845206
Hyundai Creta,Diesel,Used,Novosibirsk,2016,179734,310544
Toyota RAV4,Diesel,Excellent,Samara,2023,160968,1276657
Mercedes-Benz GLE,Diesel,Used,Novosibirsk,2014,149389,1020651
Toyota Corolla,Diesel,Used,Moscow,2012,100851,445904
Volkswagen Polo,Petrol,Excellent,Krasnodar,2012,226442,282744
Toyota Corolla,Hybrid,Fair,Novosibirsk,2020,75664,922928
Kia Rio,Diesel,Fair,Ekaterinburg,2020,209343,804454
Nissan Qashqai,Diesel,Excellent,Novosibirsk,2014,88477,325567
Lada Granta,Electric,Excellent,Krasnodar,2018,262808,190434
Nissan X-Trail,Diesel,Excellent,Krasnodar,2013,202542,259377
BMW 3-Series,Electric,Used,Kazan,2024,29272,3515391
Toyota Corolla,Diesel,Excellent,St. Petersburg,2013,260211,409712
Lada Granta,Petrol,Good,Novosibirsk,2022,82832,325877
Mercedes-Benz GLE,Electric,Fair,Krasnodar,2018,31220,1610906
Lada Niva,Electric,Used,Samara,2020,266582,369003
Lada Granta,Hybrid,Used,Ekaterinburg,2010,178815,150000
Volkswagen Polo,Hybrid,Used,Moscow,2023,228981,1109669
Toyota Camry,Hybrid,Fair,Kazan,2019,180094,652304
Renault Duster,Electric,Good,Krasnodar,2017,186413,612283
Toyota Camry,Diesel,Fair,Moscow,2012,159304,327114
Hyundai Solaris,Petrol,Excellent,St. Petersburg,2019,21786,919374
Volkswagen Polo,Hybrid,Used,Krasnodar,2023,249835,955797
Hyundai Solaris,Petrol,Fair,Samara,2019,81629,838781
Hyundai Solaris,Diesel,Excellent,Novosibirsk,2024,156651,1199415
Volkswagen Polo,Hybrid,Excellent,Kazan,2018,7162,649842
BMW X5,Electric,Used,St. Petersburg,2021,298159,2016239
BMW 5-Series,Electric,Good,Novosibirsk,2014,218594,799637
Kia K5,Electric,Used,Kazan,2018,264396,550431
Toyota RAV4,Petrol,Good,Moscow,2018,6947,548019
Nissan X-Trail,Electric,Fair,Samara,2013,13812,246600
Kia K5,Petrol,Used,Krasnodar,2015,59099,497008
Volkswagen Polo,Petrol,Excellent,Samara,2023,141289,1066839
Hyundai Creta,Hybrid,Good,Kazan,2012,232312,404724
Kia K5,Petrol,Good,Moscow,2018,30935,734613
Hyundai Creta,Hybrid,Excellent,Krasnodar,2015,244741,458544
Mercedes-Benz C-Class,Petrol,Used,Kazan,2016,229807,1084646
BMW 5-Series,Electric,Used,Rostov,2023,211139,2639014
Kia Rio,Petrol,Excellent,Ekaterinburg,2019,178717,702251
Volkswagen Passat,Petrol,Used,Krasnodar,2017,99651,485773
Volkswagen Passat,Hybrid,Fair,Rostov,2016,21337,473907
Volkswagen Passat,Petrol,Excellent,Ekaterinburg,2023,89205,1211507
Volkswagen Polo,Petrol,Excellent,Moscow,2013,150089,187567
Nissan Juke,Hybrid,Good,Kazan,2011,99040,240110
Nissan Juke,Diesel,Excellent,Rostov,2010,294299,186093
Nissan X-Trail,Hybrid,Excellent,Samara,2019,184197,660504
Toyota RAV4,Petrol,Used,Novosibirsk,2014,258652,355402
Renault Sandero,Electric,Used,Moscow,2024,60318,1519686
Hyundai Tucson,Diesel,Excellent,Samara,2019,159739,824530
Toyota RAV4,Hybrid,Excellent,St. Petersburg,2016,137657,547733
BMW 5-Series,Diesel,Fair,Samara,2022,200517,2433760
Nissan X-Trail,Petrol,Used,Rostov,2016,27771,539571
Lada Granta,Electric,Excellent,St. Petersburg,2011,62425,150539
BMW 5-Series,Electric,Fair,Samara,2016,23115,1333566
Lada Vesta,Petrol,Used,Novosibirsk,2013,249489,172165
Toyota Camry,Diesel,Good,Rostov,2018,160489,478603
Volkswagen Polo,Petrol,Fair,Samara,2018,146292,731827
Hyundai Solaris,Electric,Used,Kazan,2012,71708,160385
Lada Granta,Petrol,Good,Ekaterinburg,2015,168594,150000
Kia K5,Petrol,Good,Samara,2012,205636,173442
Kia Rio,Petrol,Fair,Krasnodar,2011,190684,338452
Kia Rio,Petrol,Good,Rostov,2022,299319,803551
Volkswagen Polo,Electric,Good,Krasnodar,2024,121783,1237990
Mercedes-Benz GLE,Electric,Fair,Novosibirsk,2014,283953,719270
BMW 5-Series,Hybrid,Fair,Moscow,2017,38910,1567131
Nissan X-Trail,Electric,Used,Rostov,2014,9278,476623
Mercedes-Benz C-Class,Petrol,Good,Rostov,2014,295643,656358
Toyota Camry,Electric,Good,Moscow,2020,13409,910189
BMW X5,Petrol,Used,Rostov,2010,74885,459645
Toyota RAV4,Diesel,Fair,Kazan,2024,69042,1469249
Nissan Qashqai,Diesel,Fair,Krasnodar,2020,74962,864414
Hyundai Tucson,Hybrid,Excellent,Ekaterinburg,2020,272399,723262
Hyundai Creta,Hybrid,Used,Krasnodar,2019,282541,598410
BMW 5-Series,Petrol,Excellent,Samara,2010,111329,528835
Nissan Juke,Petrol,Fair,Ekaterinburg,2010,137507,332776
Toyota Corolla,Hybrid,Excellent,Moscow,2010,99307,259195
Volkswagen Passat,Electric,Used,Ekaterinburg,2015,50514,368467
Kia Rio,Petrol,Good,Kazan,2010,152858,252765
Toyota RAV4,Electric,Used,Samara,2022,6945,1236320
Lada Granta,Petrol,Good,Novosibirsk,2024,262683,586953
Mercedes-Benz C-Class,Petrol,Excellent,Novosibirsk,2020,266678,1709255
Volkswagen Tiguan,Hybrid,Excellent,Novosibirsk,2016,128556,573841
Hyundai Creta,Petrol,Used,St. Petersburg,2017,197540,373391
Kia Sportage,Hybrid,Fair,Kazan,2018,159484,477447
Skoda Kodiaq,Hybrid,Used,Rostov,2010,111143,236753
Renault Duster,Diesel,Excellent,Samara,2011,253745,150000
Kia K5,Petrol,Good,Samara,2011,60526,360498
Toyota Corolla,Diesel,Fair,Krasnodar,2023,214595,1116984
Kia K5,Electric,Fair,Kazan,2021,24581,1000831
Nissan Qashqai,Electric,Used,Moscow,2013,141066,469619
Lada Granta,Electric,Used,Ekaterinburg,2023,88669,429424
Skoda Octavia,Diesel,Used,Moscow,2011,57225,306967
Mercedes-Benz GLE,Hybrid,Excellent,Krasnodar,2015,152052,1143071
Renault Duster,Petrol,Used,Moscow,2016,117850,348238
Hyundai Tucson,Hybrid,Fair,St. Petersburg,2017,116719,411008
Volkswagen Tiguan,Hybrid,Good,Ekaterinburg,2016,214351,537103
Mercedes-Benz C-Class,Hybrid,Good,Samara,2014,15695,918690
Volkswagen Tiguan,Petrol,Fair,Novosibirsk,2014,113666,443033
BMW 5-Series,Petrol,Excellent,Samara,2024,182134,3267726
Renault Duster,Electric,Excellent,Samara,2016,187939,510083
Kia Sportage,Hybrid,Excellent,Rostov,2017,165956,381765
Skoda Octavia,Hybrid,Used,Rostov,2022,186271,1057331
BMW X5,Diesel,Used,Moscow,2017,93873,1533485
Renault Logan,Hybrid,Used,Ekaterinburg,2019,181875,550345
Renault Logan,Electric,Good,Samara,2017,106300,631796
Volkswagen Passat,Petrol,Good,Rostov,2015,45046,587369
BMW X5,Petrol,Excellent,Novosibirsk,2013,267988,736479
Mercedes-Benz C-Class,Petrol,Good,Moscow,2016,258638,1155793
Volkswagen Polo,Petrol,Good,Ekaterinburg,2015,230101,329687
Toyota Camry,Petrol,Good,Moscow,2011,114472,332404
Skoda Kodiaq,Petrol,Excellent,St. Petersburg,2013,59663,212406
Hyundai Creta,Hybrid,Fair,Ekaterinburg,2019,47272,826926
Volkswagen Tiguan,Electric,Good,Samara,2024,229366,1171376
Lada Granta,Diesel,Used,Rostov,2013,128005,150000
Toyota Corolla,Diesel,Good,Novosibirsk,2011,150665,232542
Nissan Qashqai,Hybrid,Fair,Novosibirsk,2015,172034,474723
Renault Duster,Hybrid,Good,St. Petersburg,2015,136902,277973
Nissan X-Trail,Petrol,Fair,Moscow,2023,275322,1133801
Kia Sportage,Hybrid,Good,Rostov,2017,193702,610441
BMW 5-Series,Diesel,Excellent,Novosibirsk,2015,254035,816401
Toyota Camry,Diesel,Excellent,Krasnodar,2017,283030,550881
Lada Vesta,Petrol,Used,Kazan,2018,65238,361837
Volkswagen Polo,Electric,Good,Rostov,2013,197946,219906
BMW 3-Series,Petrol,Used,St. Petersburg,2024,134138,3393515
Hyundai Creta,Diesel,Used,St. Petersburg,2019,220495,603701
Mercedes-Benz E-Class,Electric,Good,St. Petersburg,2023,8609,3310399
Mercedes-Benz C-Class,Petrol,Excellent,Moscow,2022,288562,2066319
Hyundai Solaris,Diesel,Good,Moscow,2020,97942,708433
Toyota Camry,Diesel,Excellent,Rostov,2023,189593,1018416
Renault Sandero,Hybrid,Fair,St. Petersburg,2024,180900,1367269
Lada Niva,Electric,Good,Moscow,2011,98775,150000
Hyundai Solaris,Petrol,Good,Novosibirsk,2022,157564,1070339
Skoda Rapid,Electric,Used,Novosibirsk,2021,268635,739912
Nissan Qashqai,Petrol,Fair,St. Petersburg,2024,97601,1287702
Hyundai Creta,Petrol,Fair,Kazan,2014,52836,357946
Volkswagen Polo,Diesel,Fair,Samara,2015,67576,338532
BMW 5-Series,Electric,Used,Novosibirsk,2011,119060,790891
Nissan Juke,Hybrid,Used,Moscow,2019,214288,737138
Mercedes-Benz GLE,Electric,Excellent,Ekaterinburg,2023,238021,2544380
Volkswagen Polo,Electric,Fair,Kazan,2023,121396,1115947
Nissan Qashqai,Diesel,Excellent,St. Petersburg,2013,100255,266216
BMW X5,Petrol,Good,Krasnodar,2020,245596,1688826
Kia Rio,Petrol,Good,St. Petersburg,2011,74541,286670
Toyota Camry,Diesel,Good,Krasnodar,2023,105619,1220507
BMW X5,Electric,Excellent,Samara,2015,56817,1049515
Renault Duster,Hybrid,Good,Ekaterinburg,2011,122356,150000
Mercedes-Benz E-Class,Electric,Used,Novosibirsk,2014,158385,1033932
BMW 3-Series,Electric,Excellent,St. Petersburg,2020,275849,1693972
Mercedes-Benz C-Class,Hybrid,Fair,Krasnodar,2022,90117,2610192
Kia Sportage,Electric,Fair,Kazan,2015,186626,364725
BMW 3-Series,Diesel,Used,Rostov,2022,87487,2631603
Skoda Octavia,Diesel,Fair,Krasnodar,2011,73113,302083
Skoda Kodiaq,Diesel,Fair,Rostov,2023,162785,1236823
Volkswagen Polo,Diesel,Excellent,Kazan,2015,241516,257247
Lada Granta,Petrol,Excellent,Ekaterinburg,2023,121966,468652
Toyota RAV4,Hybrid,Excellent,Novosibirsk,2016,83884,517194
Hyundai Tucson,Diesel,Used,St. Petersburg,2018,12964,838714
Kia Rio,Hybrid,Used,Krasnodar,2023,151037,1218915
Mercedes-Benz E-Class,Diesel,Good,Novosibirsk,2019,89233,1873204
Toyota RAV4,Petrol,Used,Kazan,2022,289534,815440
Hyundai Tucson,Hybrid,Fair,Krasnodar,2022,239221,805570
Toyota Corolla,Petrol,Good,Kazan,2016,49196,377270
Mercedes-Benz C-Class,Hybrid,Fair,St. Petersburg,2021,30024,2378329
Lada Niva,Electric,Used,St. Petersburg,2013,68241,276026
Nissan Qashqai,Diesel,Good,Krasnodar,2022,178107,1054832
Toyota Corolla,Diesel,Good,Novosibirsk,2022,171228,996666
Mercedes-Benz C-Class,Electric,Fair,Ekaterinburg,2016,43942,1433248
Toyota Corolla,Petrol,Used,Kazan,2013,196614,305446
BMW 5-Series,Petrol,Used,Kazan,2017,46313,1406955
BMW X5,Hybrid,Excellent,Samara,2014,44243,1072102
Mercedes-Benz E-Class,Electric,Fair,St. Petersburg,2022,148796,2494348
Kia Sportage,Petrol,Excellent,Novosibirsk,2012,96759,169302
Volkswagen Passat,Petrol,Fair,Moscow,2015,80519,359140
BMW 5-Series,Diesel,Used,St. Petersburg,2014,220872,778426
Skoda Rapid,Electric,Fair,Krasnodar,2011,259878,211988
Hyundai Solaris,Diesel,Good,Rostov,2022,285214,898418
Volkswagen Tiguan,Electric,Fair,Rostov,2020,195658,857682
Skoda Octavia,Diesel,Good,Moscow,2020,188349,686223
Nissan Qashqai,Diesel,Excellent,Samara,2014,115776,372846
Nissan Qashqai,Electric,Fair,Ekaterinburg,2022,168211,851510
Nissan Juke,Petrol,Fair,Krasnodar,2022,25608,1174307
Skoda Octavia,Diesel,Fair,Ekaterinburg,2016,171975,481329
Nissan X-Trail,Electric,Excellent,Moscow,2019,222827,589999
Skoda Rapid,Diesel,Fair,Rostov,2015,29797,327805
Mercedes-Benz E-Class,Hybrid,Used,Novosibirsk,2024,270354,3054627
Toyota Camry,Electric,Excellent,Krasnodar,2023,116716,1172344
BMW X5,Electric,Excellent,Ekaterinburg,2023,50515,3199184
Volkswagen Tiguan,Petrol,Excellent,Rostov,2024,65059,1511877
Volkswagen Polo,Petrol,Fair,Kazan,2014,227008,306836
Renault Sandero,Petrol,Used,Moscow,2015,225184,307251
Hyundai Creta,Petrol,Excellent,St. Petersburg,2019,266608,741882
Volkswagen Passat,Petrol,Fair,Kazan,2010,291577,259441
Kia Sportage,Diesel,Fair,Samara,2015,78370,343118
Skoda Octavia,Diesel,Used,Moscow,2021,73853,814673
Renault Sandero,Hybrid,Excellent,Moscow,2010,17706,203177
Volkswagen Tiguan,Petrol,Excellent,Rostov,2011,71393,164446
Renault Duster,Petrol,Excellent,Novosibirsk,2018,160100,528441
Volkswagen Polo,Electric,Used,Samara,2013,155737,425849
Kia K5,Petrol,Good,Krasnodar,2019,97582,754399
Nissan Juke,Petrol,Used,Moscow,2011,188596,354302
Nissan X-Trail,Hybrid,Used,Ekaterinburg,2012,89652,154658
Renault Duster,Petrol,Excellent,Samara,2012,290749,150000
BMW 5-Series,Diesel,Used,Moscow,2013,254374,783151
BMW 3-Series,Electric,Fair,Kazan,2021,106188,2386379
Renault Sandero,Petrol,Fair,St. Petersburg,2023,273197,1003373
Lada Vesta,Diesel,Excellent,Novosibirsk,2017,285867,186554
Kia Sportage,Electric,Fair,Moscow,2013,234890,298304
Mercedes-Benz E-Class,Diesel,Good,Moscow,2015,59698,1052239
Skoda Kodiaq,Hybrid,Good,Novosibirsk,2015,253277,469200
Volkswagen Passat,Hybrid,Used,Moscow,2017,115168,412248
Toyota Camry,Petrol,Good,Krasnodar,2023,215043,1161651
Nissan X-Trail,Electric,Excellent,Rostov,2014,141703,467777
Lada Granta,Diesel,Good,Ekaterinburg,2021,232840,264809
Hyundai Tucson,Hybrid,Fair,Moscow,2019,28249,869978
BMW 5-Series,Hybrid,Used,St. Petersburg,2010,236706,636957
Lada Niva,Electric,Excellent,Novosibirsk,2011,148458,174835
Kia K5,Electric,Good,St. Petersburg,2013,236293,188694
Nissan Juke,Diesel,Excellent,St. Petersburg,2023,14206,1182003
BMW X5,Petrol,Used,Moscow,2015,219808,909081
Renault Sandero,Petrol,Fair,Rostov,2010,139220,150000
Lada Niva,Electric,Fair,Samara,2010,88535,150000
Hyundai Tucson,Hybrid,Good,Samara,2011,288593,150000
Nissan X-Trail,Diesel,Good,Moscow,2019,213564,576939
BMW X5,Petrol,Used,Moscow,2012,149479,584948
Skoda Kodiaq,Petrol,Excellent,Moscow,2024,165021,1391133
Hyundai Solaris,Diesel,Fair,Kazan,2013,70828,267760
Volkswagen Tiguan,Electric,Fair,Moscow,2013,47916,256759
Nissan Qashqai,Electric,Excellent,Rostov,2024,258847,1136410
Lada Granta,Hybrid,Used,St. Petersburg,2021,54907,242477
Skoda Kodiaq,Hybrid,Excellent,Rostov,2010,182880,186632
Skoda Rapid,Petrol,Excellent,Samara,2017,61152,532675
Toyota Camry,Diesel,Used,Krasnodar,2011,288080,226225
Nissan Qashqai,Hybrid,Used,Samara,2019,219849,725163
BMW X5,Petrol,Good,St. Petersburg,2011,242200,448638
Lada Granta,Petrol,Used,Krasnodar,2019,169801,415760
Renault Sandero,Diesel,Fair,St. Petersburg,2023,57943,1226613
Mercedes-Benz C-Class,Hybrid,Excellent,Novosibirsk,2015,64630,1014175
Toyota RAV4,Petrol,Fair,St. Petersburg,2019,262014,470175
Nissan X-Trail,Hybrid,Good,Samara,2010,22271,166074
BMW X5,Petrol,Good,Kazan,2016,234123,1021511
Renault Sandero,Diesel,Excellent,Samara,2013,218689,434733
Kia Sportage,Hybrid,Used,Moscow,2015,215541,263319
BMW 3-Series,Diesel,Excellent,St. Petersburg,2011,15019,772267
Skoda Kodiaq,Diesel,Fair,St. Petersburg,2013,139298,302164
Kia K5,Diesel,Fair,Novosibirsk,2013,60439,358737
Lada Vesta,Electric,Excellent,Kazan,2019,182621,150000
Skoda Octavia,Hybrid,Excellent,Novosibirsk,2023,265747,1076807
Mercedes-Benz GLE,Hybrid,Used,Krasnodar,2017,35286,1381698
Skoda Kodiaq,Diesel,Excellent,Ekaterinburg,2019,262007,566831
Volkswagen Passat,Electric,Good,Novosibirsk,2018,46484,602502
Skoda Rapid,Hybrid,Good,Ekaterinburg,2016,250669,522916
Toyota RAV4,Hybrid,Good,Moscow,2015,22437,318873
Toyota Corolla,Hybrid,Excellent,Samara,2015,149707,398182
Hyundai Creta,Diesel,Fair,Moscow,2015,216861,316310
Toyota Corolla,Electric,Excellent,Novosibirsk,2017,236827,440757
